,UID,Inf,Name,DoB,Nat,Division,Club,Based,Preferred Foot,Right Foot,Left Foot,Position,Height,Weight,Age,Transfer Value,Wage,AT Apps,AT Gls,Team,Caps,Yth Apps,Style,Rc Injury,Best Role,Best Duty,Best Pos,Acceleration,Aerial Reach,Aggression,Agility,Anticipation,Balance,Bravery,Command of Area,Communication,Composure,Concentration,Corners,Crossing,Decisions,Determination,Dribbling,Eccentricity,Finishing,First Touch,Flair,Free Kick Taking,Handling,Heading,Jumping Reach,Kicking,Leadership,Long Shots,Long Throws,Marking,Fitness,Off the Ball,One vs One,Pace,Passing,Penalty Taking,Positioning,Punching,Reflexes,Rushing Out,Stamina,Strength,Tackling,Teamwork,Technique,Throwing,Vision,Work Rate,Unnamed: 0,fm,normal
2515,2000022288,Yth,Federico Marrone,2004-02-20,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right,Very Strong,Weak,"DM,MC",185,75 kg,18,€0 - €110K,"€1,100 p/m",-,-,,0,-,Technical,-,Mezzala,Support,MC,65,15,25,45,25,35,35,15,15,35,25,10,35,70,90,25,5,25,70,25,30,5,30,40,10,5,40,5,35,55,25,15,60,65,20,20,15,20,15,35,30,50,35,70,15,30,55,44,Milan,AC Milan
2516,2000129461,Loa,Federico Tavernaro,2005-01-05,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right,Very Strong,Weak,MC,178,76 kg,17,€30K - €85K,"€1,100 p/m",-,-,,0,-,Physical,-,Central Midfielder,Attack,MC,70,10,25,65,30,35,20,5,10,35,10,25,10,50,75,20,20,35,65,25,30,20,5,45,15,25,40,15,30,50,40,15,50,55,5,30,10,10,20,40,20,35,35,40,10,40,60,44,Milan,AC Milan
2517,2000183005,Yth,Omar Rugginenti,2006-01-25,ITA,Italian Serie A,AC Milan,Italy (Serie A),Left,Reasonable,Very Strong,GK,184,67 kg,16,€120K - €350K,"€1,100 p/m",-,-,,0,-,Shot Stopper,-,Sweeper Keeper,Defend,GK,45,50,40,60,20,15,75,35,10,30,25,25,5,65,30,10,25,5,5,15,35,60,5,60,55,10,10,15,10,90,15,45,35,65,15,40,30,65,50,5,20,5,30,15,35,25,20,44,Milan,AC Milan
2518,2000103301,Yth,Maikol Cifuentes,2005-02-13,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right,Very Strong,Reasonable,"AMR,AML,ST",178,68 kg,17,€70K - €210K,"€1,100 p/m",-,-,,0,-,Creative,-,Inverted Winger,Support,AML,65,10,25,50,35,30,25,5,15,25,35,40,50,50,35,65,15,35,50,35,30,15,35,15,5,30,25,10,20,60,35,5,65,45,10,20,10,5,5,25,20,5,30,25,15,35,25,44,Milan,AC Milan
2519,2000103120,Yth,Lorenzo Torriani,2005-01-31,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right,Very Strong,Reasonable,GK,197,65 kg,17,€28K - €300K,"€1,100 p/m",-,-,,0,-,Assertive,-,Sweeper Keeper,Defend,GK,35,60,40,40,40,25,60,25,45,15,60,10,10,60,40,10,25,10,5,5,20,30,5,65,60,10,10,15,5,60,10,50,50,50,5,35,55,60,75,5,20,15,25,10,35,20,20,44,Milan,AC Milan
2520,2000103298,Yth,Francesco Fontana,2005-05-03,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right,Very Strong,Reasonable,"DR,DC",181,76 kg,17,€16K - €170K,"€1,100 p/m",-,-,,0,-,Physical,-,Full-Back,Defend,DR,55,5,75,45,40,45,45,10,15,40,40,20,15,65,85,35,15,10,40,25,35,15,50,55,5,20,15,10,35,70,25,15,45,45,20,55,5,5,15,60,30,60,35,25,10,35,45,44,Milan,AC Milan
2521,2000103303,Loa,Vladislav Nahrudnyy,2005-03-06,UKR,Italian Serie A,AC Milan,Italy (Serie A),Left Only,Weak,Very Strong,"AML,AMC,ST",171,60 kg,17,€6K - €60K,"€1,100 p/m",-,-,,0,-,Technical,-,Winger,Support,AML,65,5,65,65,15,30,25,5,15,35,30,25,35,55,5,30,5,45,40,35,25,15,10,30,15,5,25,15,10,55,50,15,65,50,15,20,5,5,15,20,15,30,30,35,15,20,35,44,Milan,AC Milan
2522,2000104658,Yth,Edoardo Ghibaudo,2005-03-03,ITA,Italian Serie A,AC Milan,Italy (Serie A),Left,Weak,Very Strong,"DL,WBL",179,68 kg,17,€0 - €120K,"€1,100 p/m",-,-,,0,-,Physical,-,Full-Back,Defend,DL,65,5,70,50,25,35,35,10,15,25,35,10,25,65,15,35,15,30,40,40,5,5,30,45,10,20,5,30,35,50,20,5,65,40,5,25,5,5,15,65,20,60,35,40,15,25,40,44,Milan,AC Milan
2523,2000183048,Yth,Adam Bakoune,2006-02-06,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right,Very Strong,Reasonable,"DR,WBR",178,66 kg,16,€150K - €1.5M,"€1,100 p/m",-,-,,0,-,Technical,-,Full-Back,Defend,DR,75,10,35,60,50,40,45,5,5,35,55,20,40,35,95,25,15,30,45,25,10,5,40,55,5,10,35,35,40,45,15,20,65,45,20,25,5,5,5,40,35,70,40,40,15,30,45,44,Milan,AC Milan
2524,43409542,Loa,Giovanni Robotti,2002-01-30,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right,Very Strong,Reasonable,"DM,MC",185,74 kg,20,€18K - €190K,"€2,800 p/m",-,-,,0,-,Physical,-,Advanced Playmaker,Support,MC,55,5,45,55,50,45,40,10,10,45,55,40,40,40,55,45,5,35,50,45,40,15,55,65,15,30,45,35,35,70,50,5,60,55,35,55,10,15,5,45,40,40,60,60,10,55,45,44,Milan,AC Milan
2525,2000103342,Loa,Riccardo Nicotra,2005-04-11,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right,Very Strong,Weak,MC,186,73 kg,17,€0 - €95K,"€1,100 p/m",-,-,,0,-,Technical,-,Central Midfielder,Attack,MC,50,15,55,50,35,35,35,5,5,20,35,25,30,65,30,35,5,20,65,25,5,5,30,40,15,25,50,5,25,60,50,5,65,65,5,20,20,15,15,35,25,30,35,40,15,50,60,44,Milan,AC Milan
2526,2000103344,Loa,Francesco Lionetti,2005-03-28,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right Only,Very Strong,Weak,GK,186,72 kg,17,€0 - €85K,"€1,100 p/m",-,-,,0,-,Shot Stopper,-,Goalkeeper,Defend,GK,60,55,35,70,40,30,65,15,40,10,45,15,10,60,25,15,25,5,15,10,30,50,5,35,20,55,15,15,15,80,15,35,55,25,5,60,45,45,60,15,25,15,25,5,35,25,25,44,Milan,AC Milan
2527,2000186346,Yth,Alessandro Bonomi,2006-04-09,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right,Very Strong,Weak,"MC,AMC",177,63 kg,16,€12K - €130K,"€1,100 p/m",-,-,,0,-,Technical,-,Mezzala,Support,MC,65,15,70,65,25,30,5,10,5,35,25,25,25,45,35,35,20,30,65,60,25,15,25,40,5,50,20,5,15,65,20,15,55,60,10,20,10,15,5,25,15,35,30,60,10,35,30,44,Milan,AC Milan
2528,2000171317,Yth,Estevan Gaúcho,2006-07-07,BRA,Italian Serie A,AC Milan,Italy (Serie A),Right,Very Strong,Fairly Strong,"DR,WBR",177,65 kg,15,€40K - €120K,"€1,100 p/m",-,-,,0,-,Technical,-,Defensive Winger,Support,MR,60,5,40,50,30,75,35,5,10,60,30,20,45,55,60,65,10,20,45,35,5,5,35,30,15,5,30,35,20,50,35,5,40,50,5,25,10,5,10,35,20,40,60,65,5,20,35,44,Milan,AC Milan
2529,2000183046,Yth,Tommaso Cecotti,2005-09-13,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right,Very Strong,Weak,DR,181,67 kg,16,€14K - €130K,"€1,100 p/m",-,-,,0,-,Technical,-,Full-Back,Defend,DR,50,10,25,65,25,25,35,5,5,30,20,15,25,70,80,25,5,10,50,25,5,15,20,40,10,55,15,30,35,60,30,5,70,30,5,35,15,10,5,35,30,65,35,40,15,25,35,44,Milan,AC Milan
2530,2000129532,Loa,Mattia Sala,2005-03-25,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right Only,Very Strong,Very Weak,"AMR,AMC",182,68 kg,17,€14K - €140K,"€1,100 p/m",-,-,,0,-,Technical,-,Winger,Attack,AMR,70,5,40,55,20,30,20,10,10,30,20,25,35,30,10,50,15,60,45,60,25,15,30,45,10,15,15,25,20,70,20,15,55,50,15,30,15,10,10,30,20,25,30,70,10,45,35,44,Milan,AC Milan
2531,2000127965,Loa,Mattia Rana,2005-01-04,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right Only,Very Strong,Weak,"DR,DL,WBR,WBL,MR,ML",174,66 kg,17,€30K - €95K,"€1,100 p/m",-,-,,0,-,Technical,-,Winger,Support,MR,65,5,40,40,25,40,35,5,15,35,30,35,45,35,55,35,10,10,70,50,35,5,35,25,10,15,10,35,45,55,25,10,40,40,30,35,10,10,10,40,30,55,40,45,10,30,45,44,Milan,AC Milan
2532,2000187066,Yth,Michael Vitali,2006-04-06,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right,Very Strong,Weak,"DM,MC",181,68 kg,16,€14K - €130K,"€1,100 p/m",-,-,,0,-,Leader,-,Central Midfielder,Support,MC,20,10,75,35,45,40,40,15,10,45,30,35,25,60,85,30,15,30,60,25,35,10,10,60,10,60,40,25,45,90,30,10,25,50,15,35,5,5,15,40,35,75,70,45,5,35,65,44,Milan,AC Milan
2533,2000183047,Yth,Edoardo Colzani,2006-02-27,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right,Very Strong,Weak,GK,182,68 kg,16,€5K - €50K,"€1,100 p/m",-,-,,0,-,Assertive,-,Sweeper Keeper,Defend,GK,40,55,40,25,40,30,40,50,30,30,55,5,5,65,80,5,25,5,5,5,30,45,5,40,60,5,15,10,15,50,5,40,30,40,10,45,50,65,70,5,15,10,30,20,20,20,20,44,Milan,AC Milan
2534,2000098935,Yth,Alessandro Lanotte,2005-12-18,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right,Very Strong,Weak,ST,181,67 kg,16,€7K - €65K,"€1,100 p/m",-,-,,0,-,Technical,-,Poacher,Attack,ST,70,5,50,45,40,30,25,10,5,70,25,25,20,25,45,40,5,70,50,45,30,10,65,45,15,30,20,10,25,60,40,10,55,35,25,25,5,15,10,35,30,10,30,50,10,25,35,44,Milan,AC Milan
2535,2000216205,Yth,Pietro Caragnulo,2005-06-20,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right,Very Strong,Reasonable,"AMR,AML",175,65 kg,17,€55K - €170K,"€1,100 p/m",-,-,,0,-,Technical,-,Winger,Support,AMR,65,15,25,60,20,30,35,5,10,20,20,20,45,30,60,45,20,25,65,50,25,15,20,25,10,55,30,5,20,75,30,20,65,35,10,15,15,15,15,45,15,20,30,50,15,45,35,44,Milan,AC Milan
2536,2000022294,Loa,Andrea Bartoccioni,2004-03-14,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right,Very Strong,Reasonable,GK,196,82 kg,18,€16K - €160K,"€1,100 p/m",-,-,,0,-,Distributor,-,Goalkeeper,Defend,GK,45,65,25,60,45,30,45,30,30,20,60,10,15,65,80,5,25,15,5,5,35,65,5,75,60,20,15,10,5,65,10,25,35,40,10,30,45,65,50,25,25,5,30,5,45,25,25,44,Milan,AC Milan
2537,2000099174,Yth,Thomas Zanon,2005-08-03,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right Only,Very Strong,Weak,GK,184,68 kg,16,€14K - €140K,"€1,100 p/m",-,-,,0,-,Shot Stopper,-,Goalkeeper,Defend,GK,30,50,30,65,20,30,65,40,25,15,35,20,5,65,65,10,25,10,5,15,35,55,5,40,60,45,10,5,10,70,5,30,25,30,10,35,25,60,25,5,20,15,30,5,25,25,25,44,Milan,AC Milan
2538,2000216199,Yth,Ervin Bashi,2005-07-24,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right,Very Strong,Weak,DC,188,71 kg,16,€4.5K - €45K,"€1,100 p/m",-,-,,0,-,Intelligent,-,Central Defender,Cover,DC,60,15,40,55,55,25,35,5,10,25,35,10,5,60,15,5,10,5,25,25,15,5,60,55,5,20,5,5,60,55,20,5,45,25,5,60,15,15,15,20,20,50,20,20,10,5,20,44,Milan,AC Milan
2539,2000123944,Loa,Alberto Chiesurin,2005-01-23,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right,Very Strong,Reasonable,"MR,MC",193,78 kg,17,€14K - €130K,"€1,100 p/m",-,-,,0,-,Physical,-,Winger,Support,MR,70,5,50,65,15,35,10,5,10,45,15,30,50,30,45,35,15,35,45,35,25,5,20,70,5,5,35,30,30,60,35,5,70,45,10,20,5,20,5,35,35,30,35,60,20,50,60,44,Milan,AC Milan
2540,2000099171,Yth,Nicholas Pluvio,2004-03-09,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right,Very Strong,Fairly Strong,"MC,AMC",184,73 kg,18,€4.5K - €45K,"€1,100 p/m",-,-,,0,-,Technical,-,Mezzala,Support,MC,50,20,45,20,35,35,35,5,5,40,40,30,35,55,30,40,15,30,65,65,30,10,25,50,5,50,35,5,40,70,35,15,45,40,5,40,15,10,15,65,25,30,35,65,15,65,60,44,Milan,AC Milan
2541,2000209236,Yth,Pietro Parmiggiani,2006-02-04,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right Only,Very Strong,Weak,DC,182,70 kg,16,€22K - €210K,"€1,100 p/m",-,-,,0,-,Physical,-,Central Defender,Cover,DC,40,20,50,60,35,30,40,15,15,15,50,20,5,65,50,15,15,15,30,25,10,5,60,50,15,45,5,5,40,45,20,10,65,20,20,50,10,15,5,60,40,50,25,20,15,20,35,44,Milan,AC Milan
2542,2000209242,Yth,Andrea Di Siena,2006-01-30,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right Only,Very Strong,Weak,AMC,182,65 kg,16,€0 - €95K,"€1,100 p/m",-,-,,0,-,Creative,-,Advanced Playmaker,Support,AMC,65,5,25,50,20,25,20,5,10,20,10,20,20,40,15,35,5,35,55,65,20,15,25,35,15,15,30,5,15,75,30,10,60,45,10,20,5,10,5,30,15,15,25,65,5,50,30,44,Milan,AC Milan
2543,2000209240,Yth,Vittorio Magni,2006-06-01,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right Only,Very Strong,Weak,"DM,MC",169,55 kg,16,€12K - €120K,"€1,100 p/m",-,-,,0,-,Technical,-,Central Midfielder,Support,MC,70,5,35,65,20,15,20,15,5,25,20,20,10,65,75,15,15,30,60,25,30,5,30,25,5,15,45,25,30,60,20,10,70,60,5,55,5,10,15,30,5,60,35,50,15,40,55,44,Milan,AC Milan
2544,2000209234,Yth,Samuele Rutigliano,2006-08-09,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right Only,Very Strong,Very Weak,GK,190,71 kg,15,€22K - €220K,"€1,100 p/m",-,-,,0,-,Assertive,-,Goalkeeper,Defend,GK,50,45,60,45,20,25,55,25,25,10,25,5,5,60,80,10,35,5,15,15,10,60,5,65,35,10,15,15,10,35,5,45,60,55,15,30,25,60,55,5,25,10,25,15,45,20,20,44,Milan,AC Milan
2545,2000209238,Yth,Andrea Gualdi,2006-02-24,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right Only,Very Strong,Weak,MC,169,57 kg,16,€0 - €110K,"€1,100 p/m",-,-,,0,-,Leader,-,Central Midfielder,Attack,MC,60,20,50,55,25,30,25,10,10,25,20,25,25,70,80,30,10,30,65,40,25,15,5,30,5,40,30,20,25,55,35,20,45,50,5,25,15,15,10,25,15,30,35,40,15,70,50,44,Milan,AC Milan
2546,2000209245,Yth,Leonardo Frugnoli,2006-05-12,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right Only,Very Strong,Very Weak,DC,184,67 kg,16,€14K - €45K,"€1,100 p/m",-,-,,0,-,Physical,-,Central Defender,Cover,DC,45,20,40,60,25,15,35,5,15,10,35,5,5,70,60,5,5,5,30,25,5,10,35,70,10,55,10,5,45,65,20,10,70,30,5,35,20,5,10,30,20,50,25,15,15,5,30,44,Milan,AC Milan
2547,2000209235,Yth,Lorenzo Grilli,2006-07-05,ITA,Italian Serie A,AC Milan,Italy (Serie A),Left,Weak,Very Strong,"DL,WBL",173,56 kg,15,€5K - €50K,"€1,100 p/m",-,-,,0,-,Physical,-,Full-Back,Defend,DL,75,10,40,65,25,35,35,15,10,20,25,25,20,45,30,15,5,10,50,25,10,5,20,35,15,50,5,15,30,70,30,10,70,25,5,30,5,5,5,35,25,50,35,40,10,35,35,44,Milan,AC Milan
2548,2000209244,Yth,Gaetano Manto,2006-06-21,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right Only,Very Strong,Weak,"AMR,AML",171,60 kg,16,€0 - €95K,"€1,100 p/m",-,-,,0,-,Creative,-,Winger,Support,AMR,50,10,40,40,35,30,25,5,5,25,15,30,55,50,50,55,5,35,50,50,10,15,20,30,15,40,35,5,15,30,40,15,45,35,25,10,5,5,15,50,10,25,30,55,15,45,35,44,Milan,AC Milan
2549,2000209239,Yth,Andrea De Bonis,2006-03-16,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right,Very Strong,Reasonable,DC,184,68 kg,16,€2.5K - €22K,"€1,100 p/m",-,-,,0,-,Intelligent,-,Central Defender,Defend,DC,30,5,45,50,45,15,30,15,5,5,25,5,5,60,30,5,10,5,20,25,5,5,60,30,5,10,5,5,60,65,5,15,35,20,15,60,5,15,15,10,15,60,15,5,10,5,20,44,Milan,AC Milan
2550,2000091624,Loa,Hugo Cuenca,2005-01-08,PAR,Italian Serie A,AC Milan,Italy (Serie A),Left Only,Weak,Very Strong,"MC,AMC",183,73 kg,17,€130K - €1.3M,"€1,100 p/m",-,-,U21,0,-,Physical,-,Attacking Midfielder,Support,AMC,65,15,35,65,40,55,55,15,5,35,30,25,40,50,85,55,20,35,60,65,30,5,25,55,15,45,60,30,25,75,55,10,65,55,40,30,15,5,10,40,30,25,45,65,5,60,50,44,Milan,AC Milan
2551,2000209243,Yth,Alessandro Guffanti,2006-02-20,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right Only,Very Strong,Weak,DC,191,74 kg,16,€1.5K - €16K,"€1,100 p/m",-,-,,0,-,Physical,-,No-Nonsense Centre-Back,Defend,DC,50,15,50,60,20,20,30,5,10,5,10,5,5,60,50,5,5,5,20,25,5,10,45,60,10,5,5,5,60,65,5,10,45,5,5,60,10,5,5,10,30,60,15,5,10,15,20,44,Milan,AC Milan
2552,2000209241,Yth,Ciro Mundula,2006-03-01,ITA,Italian Serie A,AC Milan,Italy (Serie A),Right Only,Very Strong,Weak,DC,181,69 kg,16,€30K - €95K,"€1,100 p/m",-,-,,0,-,Physical,-,Central Defender,Cover,DC,45,5,60,55,35,30,35,15,15,30,40,5,5,65,50,5,5,20,20,25,5,15,35,50,10,5,5,10,50,50,20,15,50,30,5,50,5,15,5,25,35,70,25,5,10,5,30,44,Milan,AC Milan
2553,13158205,nEU,Victor Osimhen,1998-12-29,NGA,Italian Serie A,Napoli,Italy (Serie A),Right,Very Strong,Reasonable,ST,185,78 kg,23,€96M - €116M,"€481,000 p/m",123,53,Main,23,4,Physical,-,Advanced Forward,Attack,ST,85,10,75,75,70,70,70,5,5,70,65,20,40,65,70,65,10,75,70,65,35,5,70,75,5,50,60,20,20,70,95,5,95,60,70,25,10,10,10,60,80,40,60,70,15,55,65,45,Parthenope,Napoli
2554,43093171,,Piotr Zieliński,1994-05-20,POL,Italian Serie A,Napoli,Italy (Serie A),Either,Very Strong,Strong,"MC,AMC",180,69 kg,28,€41M - €51M,"€540,000 p/m",296,37,Main,72,7,Creative,-,Central Midfielder,Attack,MC,65,20,50,70,75,60,55,15,20,60,45,70,70,70,55,65,15,70,85,75,60,15,35,45,5,50,75,20,35,80,70,5,70,85,70,50,5,5,15,70,50,35,75,80,15,80,60,45,Parthenope,Napoli
2555,51042313,Inj,Hirving Lozano,1995-07-30,MEX,Italian Serie A,Napoli,Italy (Serie A),Right,Very Strong,Reasonable,"AMR,AML,ST",175,70 kg,26,€26M - €31M,"€481,000 p/m",270,87,Main,58,8,Technical,-,Inverted Winger,Attack,AML,80,20,60,80,70,55,45,15,15,75,50,45,65,65,60,70,10,70,75,80,60,15,60,45,15,35,60,25,20,65,80,5,80,70,70,30,5,15,10,65,35,30,55,75,15,65,60,45,Parthenope,Napoli
2556,48030711,nEU,André-Franck Zambo Anguissa,1995-11-16,CMR,Italian Serie A,Napoli,Italy (Serie A),Right,Very Strong,Reasonable,"DM,MC",184,78 kg,26,€35M - €44M,"€182,000 p/m",199,2,Main,42,-,Technical,-,Central Midfielder,Support,MC,70,15,70,70,75,85,70,20,15,75,75,20,50,70,80,85,15,55,80,80,25,15,55,60,10,60,50,15,60,65,70,10,70,75,45,70,5,15,5,75,80,80,75,80,5,60,75,45,Parthenope,Napoli
2557,43075156,Wnt,Giovanni Di Lorenzo,1993-08-04,ITA,Italian Serie A,Napoli,Italy (Serie A),Right,Very Strong,Reasonable,"DR,DC,WBR,MR",183,83 kg,28,€33M - €49M,"€355,000 p/m",320,15,Main,21,3,Physical,Sprained knee ligaments,Full-Back,Attack,DR,75,10,70,65,65,75,75,15,10,70,65,20,65,65,75,55,10,55,60,30,15,15,70,65,5,55,60,55,70,90,70,5,85,65,50,65,10,15,15,85,70,80,75,55,15,55,75,45,Parthenope,Napoli
2558,43093382,Inj,Matteo Politano,1993-08-03,ITA,Italian Serie A,Napoli,Italy (Serie A),Left,Reasonable,Very Strong,"AMR,AML,AMC,ST",171,65 kg,28,€22M - €32M,"€339,000 p/m",328,58,,7,2,Creative,-,Inverted Winger,Attack,AMR,75,15,35,80,70,60,55,10,5,75,60,80,75,70,70,65,5,65,75,70,70,20,40,35,10,50,80,25,30,70,75,5,70,70,70,35,10,20,10,65,45,35,70,70,15,65,65,45,Parthenope,Napoli
2559,85128159,,Tanguy Ndombele,1996-12-28,FRA,Italian Serie A,Napoli,Italy (Serie A),Right,Very Strong,Reasonable,"DM,MC,AMC",181,76 kg,25,€26M - €33M,"€603,000 p/m",164,8,Main,7,11,Technical,-,Deep Lying Playmaker,Defend,DM,75,5,60,70,65,80,70,5,10,75,50,30,50,65,60,80,15,50,75,75,40,5,50,50,10,45,60,20,60,60,60,10,65,80,35,65,5,10,15,60,80,70,70,80,15,70,55,45,Parthenope,Napoli
2560,63012964,Wnt,Stanislav Lobotka,1994-11-25,SVK,Italian Serie A,Napoli,Italy (Serie A),Right,Very Strong,Fairly Strong,"DM,MC",172,64 kg,27,€21M - €32M,"€213,000 p/m",305,7,Main,40,35,Technical,-,Deep Lying Playmaker,Defend,DM,65,20,65,75,70,80,75,10,15,85,75,20,55,75,75,70,20,30,85,60,20,5,25,35,5,50,45,25,60,75,45,5,60,80,40,70,15,15,5,75,50,85,85,85,10,70,75,45,Parthenope,Napoli
2561,11023165,nEU,Amir Rrahmani,1994-02-24,KOS,Italian Serie A,Napoli,Italy (Serie A),Right,Very Strong,Fairly Strong,DC,192,83 kg,28,€27M - €32M,"€192,000 p/m",250,14,Main,48,-,Physical,-,Central Defender,Defend,DC,60,10,75,55,75,75,75,5,15,65,70,25,45,70,75,40,5,50,55,20,30,5,80,80,5,55,40,55,75,70,50,10,60,60,35,70,15,5,10,80,80,75,75,50,15,50,80,45,Parthenope,Napoli
2562,89063073,nEU,Kim Min-Jae,1996-11-15,KOR,Italian Serie A,Napoli,Italy (Serie A),Right,Very Strong,Reasonable,DC,190,88 kg,25,€42M - €50M,"€321,000 p/m",145,4,Main,42,-,Physical,-,Central Defender,Defend,DC,70,10,90,60,70,70,85,5,10,70,60,20,25,65,90,40,15,45,55,40,20,5,85,85,5,60,25,20,75,80,35,5,75,60,25,75,10,5,15,75,90,85,70,60,5,45,65,45,Parthenope,Napoli
2563,47064795,nEU,Eljif Elmas,1999-09-24,MKD,Italian Serie A,Napoli,Italy (Serie A),Right,Very Strong,Fairly Strong,"ML,MC,AML,AMC",182,68 kg,22,€15.5M - €19.5M,"€160,000 p/m",174,17,Main,42,9,Technical,-,Inverted Winger,Support,AML,70,10,70,70,65,70,65,15,15,70,55,50,65,65,65,75,5,60,75,70,55,5,65,60,5,40,65,30,40,75,75,5,65,80,55,55,10,15,20,65,60,55,75,75,5,60,75,45,Parthenope,Napoli
2564,43140326,,Alex Meret,1997-03-22,ITA,Italian Serie A,Napoli,Italy (Serie A),Left Only,Weak,Very Strong,GK,190,80 kg,25,€13.5M - €20M,"€232,000 p/m",108,-,Main,2,5,Shot Stopper,-,Sweeper Keeper,Defend,GK,50,70,40,90,70,70,60,70,65,60,60,5,15,70,55,5,25,10,35,15,10,80,30,80,50,45,15,15,15,65,15,75,60,40,5,80,55,85,60,65,65,15,65,40,50,25,65,45,Parthenope,Napoli
2565,92023691,Inj,Diego Demme,1991-11-21,GER,Italian Serie A,Napoli,Italy (Serie A),Right,Very Strong,Reasonable,"DM,MC",170,68 kg,30,€5.6M - €7M,"€321,000 p/m",334,5,,1,-,Leader,-,Ball Winning Midfielder,Defend,DM,60,15,85,70,65,70,85,10,5,65,70,50,55,60,85,50,10,40,60,40,40,15,45,30,10,55,55,35,70,65,60,5,55,75,50,70,10,10,15,70,65,85,80,60,15,55,90,45,Parthenope,Napoli
2566,55027761,,Mário Rui,1991-05-27,POR,Italian Serie A,Napoli,Italy (Serie A),Left Only,Weak,Very Strong,"DL,WBL,ML",170,67 kg,31,Not for Sale,"€324,000 p/m",310,5,,11,3,Technical,Damaged cruciate ligaments,Wing-Back,Defend,DL,80,15,65,80,70,70,75,5,5,60,70,65,75,70,75,55,10,35,65,60,60,15,40,30,5,45,55,60,70,80,65,15,75,70,35,65,15,15,15,75,55,75,75,65,10,60,75,45,Parthenope,Napoli
2567,14031138,,Giovanni Simeone,1995-08-09,ARG,Italian Serie A,Napoli,Italy (Serie A),Right,Very Strong,Reasonable,ST,180,81 kg,26,€11M - €16.5M,"€231,000 p/m",276,81,,5,15,Physical,-,Pressing Forward,Attack,ST,70,15,60,60,75,70,70,10,15,60,65,30,40,60,65,60,5,80,65,55,40,15,80,80,5,45,60,20,20,70,80,5,75,55,70,15,15,10,10,80,70,35,75,65,5,55,90,45,Parthenope,Napoli
2568,78076343,,Mathías Olivera,1997-10-31,URU,Italian Serie A,Napoli,Italy (Serie A),Left,Reasonable,Very Strong,"DL,WBL,ML",184,78 kg,24,€4.9M - €6M,"€160,000 p/m",121,3,Main,6,15,Technical,-,Full-Back,Support,DL,70,15,55,60,70,60,65,10,15,65,70,50,70,65,70,60,5,40,65,60,45,20,60,65,15,55,45,65,65,70,65,15,70,60,40,70,5,5,10,70,65,75,75,60,15,50,80,45,Parthenope,Napoli
2569,43316850,Trn,Giacomo Raspadori,2000-02-18,ITA,Italian Serie A,Napoli,Italy (Serie A),Either,Very Strong,Strong,"AML,AMC,ST",172,69 kg,22,€20M - €30M,"€58,000 p/m",75,18,Main,13,8,Intelligent,-,Inside Forward,Attack,AML,75,10,60,80,70,75,55,5,5,70,60,65,50,65,75,65,5,75,80,80,70,15,55,35,10,55,60,30,30,75,80,10,70,65,65,20,10,10,5,65,55,30,70,70,10,65,70,45,Parthenope,Napoli
2570,59130638,nEU,Khvicha Kvaratskhelia,2001-02-12,GEO,Italian Serie A,Napoli,Italy (Serie A),Either,Very Strong,Strong,"AMR,AML,AMC",183,70 kg,21,€70M - €104M,"€128,000 p/m",109,22,Main,17,-,Creative,-,Inverted Winger,Attack,AML,75,5,55,90,60,60,60,5,15,75,60,40,60,70,85,90,10,75,85,95,60,5,55,50,5,25,70,20,20,80,65,5,70,70,60,30,10,5,20,65,50,25,45,90,10,70,45,45,Parthenope,Napoli
