,Name,Overall,Potential,Performance,Country,Club,Preferred Foot,Weak Foot,Skill Moves,Height,Offensive Work Rate,Defensive Work Rate,Value,Wage,ID,Crosses,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive Awareness,Standing Tackle,Sliding Tackle,Goalkeeping Diving,Goalkeeping Handling,Goalkeeping Kicking,Goalkeeping Positioning,Goalkeeping Reflexes,player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
68,S. Tonali,84,90,87.0,Italy,AC Milan,Right,4,3,181,Medium,High,€62.5M,€75K,241096,78,69,70,84,68,75,75,81,81,83,78,83,81,82,83,79,65,85,81,81,84,81,75,78,64,84,81,81,75,13,9,8,7,7,241096,/player/241096/sandro-tonali/230002,23.0,2.0,2022-09-26,S. Tonali,Sandro Tonali,"CDM, CM",84,90,62500000.0,75000.0,22,2000-05-08,181,79,47.0,Milan,31.0,Serie A,1.0,LCM,8.0,,2021-07-08,2027.0,27,Italy,,,,Right,4,3,1,Medium/High,Unique,Yes,118800000.0,,"Long Passer (AI), Team Player",81.0,73.0,81.0,79.0,79.0,82.0,78,69,70,84,68,75,75,81,81,83,78,83,81,82,83,79,65,85,81,81,84,81,75,78,64,84.0,81,81,75,13,9,8,7,7,,76+2,76+2,76+2,78,78,78,78,78,79+2,79+2,79+2,79+2,81+2,81+2,81+2,79+2,81+2,82+2,82+2,82+2,81+2,80+2,79+2,79+2,79+2,80+2,17+2
69,F. Valverde,84,90,87.0,Uruguay,Real Madrid CF,Right,4,3,182,High,High,€66M,€175K,239053,70,69,59,86,70,78,70,66,85,83,82,91,76,84,68,83,62,86,79,81,81,81,78,81,59,82,79,81,79,6,10,6,15,8,239053,/player/239053/federico-valverde/230002,23.0,2.0,2022-09-26,F. Valverde,Federico Santiago Valverde Dipetta,"CM, RW",84,90,66000000.0,175000.0,23,1998-07-22,182,78,243.0,Real Madrid,53.0,La Liga,1.0,SUB,15.0,,2016-07-22,2027.0,60,Uruguay,,,,Right,4,3,1,High/High,Unique,Yes,148500000.0,#Engine,"Injury Prone, Long Shot Taker (AI)",87.0,74.0,80.0,79.0,78.0,80.0,70,69,59,86,70,78,70,66,85,83,82,91,76,84,68,83,62,86,79,81,81,81,78,81,59,82.0,79,81,79,6,10,6,15,8,,77+2,77+2,77+2,80,80,80,80,80,81+2,81+2,81+2,81+2,83+2,83+2,83+2,81+2,81+2,82+2,82+2,82+2,81+2,81+2,78+2,78+2,78+2,81+2,18+2
70,A. Bastoni,84,90,87.0,Italy,Inter,Left,3,2,190,Medium,High,€60.5M,€75K,237383,70,26,82,78,35,70,53,36,78,76,68,77,58,86,57,49,75,81,82,37,84,85,39,57,47,82,87,87,82,11,5,9,11,12,237383,/player/237383/alessandro-bastoni/230002,23.0,2.0,2022-09-26,A. Bastoni,Alessandro Bastoni,CB,84,90,60500000.0,75000.0,23,1999-04-13,190,75,44.0,Inter,31.0,Serie A,1.0,LCB,95.0,,2017-08-31,2024.0,27,Italy,1343.0,LCB,23.0,Left,3,2,1,Medium/High,Lean (185+),Yes,111900000.0,,Team Player,73.0,35.0,69.0,71.0,86.0,82.0,70,26,82,78,35,70,53,36,78,76,68,77,58,86,57,49,75,81,82,37,84,85,39,57,47,82.0,87,87,82,11,5,9,11,12,,59+2,59+2,59+2,63,61,61,61,63,64+2,64+2,64+2,68+2,71+2,71+2,71+2,68+2,80+2,81+2,81+2,81+2,80+2,81+2,84+2,84+2,84+2,81+2,18+2
71,F. Chiesa,84,90,87.0,Italy,Juventus,Right,4,4,175,High,Medium,€66.5M,€140K,235805,75,80,50,78,80,89,78,62,72,82,91,91,88,86,81,86,53,85,70,84,69,30,84,77,62,81,65,44,44,6,7,8,9,7,235805,/player/235805/federico-chiesa/230002,23.0,2.0,2022-09-26,F. Chiesa,Federico Chiesa,LW,84,90,66500000.0,140000.0,24,1997-10-25,175,70,45.0,Juventus,31.0,Serie A,1.0,SUB,7.0,,2022-05-03,2025.0,27,Italy,1343.0,RW,14.0,Right,4,4,3,High/Medium,Normal (170-185),Yes,126400000.0,"#Speedster, #Dribbler, #Acrobat","Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot",91.0,81.0,76.0,86.0,48.0,73.0,75,80,50,78,80,89,78,62,72,82,91,91,88,86,81,86,53,85,70,84,69,30,84,77,62,81.0,65,44,44,6,7,8,9,7,,80+3,80+3,80+3,84,83,83,83,84,82+3,82+3,82+3,83+3,76+3,76+3,76+3,83+3,68+3,64+3,64+3,64+3,68+3,64+3,57+3,57+3,57+3,64+3,16+3
72,K. Koulibaly,87,87,87.0,Senegal,Chelsea,Right,4,2,187,Medium,High,€54.5M,€175K,201024,38,25,84,71,14,70,53,28,67,72,74,88,51,83,34,67,82,70,94,20,83,85,35,60,33,82,90,89,86,7,11,7,13,5,201024,/player/201024/kalidou-koulibaly/230002,23.0,2.0,2022-09-26,K. Koulibaly,Kalidou Koulibaly,CB,87,87,54500000.0,175000.0,31,1991-06-20,187,89,5.0,Chelsea,13.0,Premier League,1.0,LCB,26.0,,2022-07-16,2026.0,136,Senegal,,,,Right,4,2,3,Medium/High,Unique,Yes,100800000.0,"#Tackling, #Strength",Power Header,82.0,33.0,59.0,68.0,88.0,85.0,38,25,84,71,14,70,53,28,67,72,74,88,51,83,34,67,82,70,94,20,83,85,35,60,33,82.0,90,89,86,7,11,7,13,5,,59+3,59+3,59+3,59,60,60,60,59,61+3,61+3,61+3,63+3,67+3,67+3,67+3,63+3,75+3,79+3,79+3,79+3,75+3,78+3,86+1,86+1,86+1,78+3,17+3
73,A. Robertson,87,87,87.0,Scotland,Liverpool,Left,2,3,178,High,High,€72M,€185K,216267,88,55,67,82,32,81,82,71,76,83,79,81,75,85,74,76,62,95,65,65,85,84,77,80,55,83,83,84,82,11,8,10,7,14,216267,/player/216267/andrew-robertson/230002,23.0,2.0,2022-09-26,A. Robertson,Andrew Robertson,LB,87,87,72000000.0,185000.0,28,1994-03-11,178,64,9.0,Liverpool,13.0,Premier League,1.0,LB,26.0,,2017-07-21,2026.0,42,Scotland,1359.0,LWB,3.0,Left,2,3,3,High/High,Unique,Yes,133200000.0,"#Engine, #Crosser","Early Crosser, Speed Dribbler (AI)",80.0,61.0,81.0,81.0,82.0,76.0,88,55,67,82,32,81,82,71,76,83,79,81,75,85,74,76,62,95,65,65,85,84,77,80,55,83.0,83,84,82,11,8,10,7,14,,72+3,72+3,72+3,78,77,77,77,78,78+3,78+3,78+3,81+3,81+3,81+3,81+3,81+3,85+2,82+3,82+3,82+3,85+2,84+3,79+3,79+3,79+3,84+3,18+3
74,A. Robertson,87,87,87.0,Scotland,Liverpool,Left,2,3,178,High,High,€72M,€185K,216267,88,55,67,82,32,81,82,71,76,83,79,81,75,85,74,76,62,95,65,65,85,84,77,80,55,83,83,84,82,11,8,10,7,14,259677,/player/259677/alex-robertson/230002,23.0,2.0,2022-09-26,A. Robertson,Alexander Robertson,CM,58,78,575000.0,8000.0,19,2003-04-17,180,66,10.0,Manchester City,13.0,Premier League,1.0,RES,93.0,,2020-07-01,2023.0,14,England,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,1600000.0,,,67.0,47.0,57.0,61.0,50.0,50.0,44,36,55,67,44,61,49,42,66,62,69,66,58,60,76,64,59,53,42,47,63,43,63,49,55,51.0,50,49,57,12,8,14,5,5,,56+2,56+2,56+2,57,58,58,58,57,59+2,59+2,59+2,59+2,58+2,58+2,58+2,59+2,55+2,56+2,56+2,56+2,55+2,55+2,53+2,53+2,53+2,55+2,14+2
75,A. Robertson,58,78,68.0,England,Manchester City,Right,3,2,180,Medium,Medium,€575K,€8K,259677,44,36,55,67,44,61,49,42,66,62,69,66,58,60,76,64,59,53,42,47,63,43,63,49,55,51,50,49,57,12,8,14,5,5,216267,/player/216267/andrew-robertson/230002,23.0,2.0,2022-09-26,A. Robertson,Andrew Robertson,LB,87,87,72000000.0,185000.0,28,1994-03-11,178,64,9.0,Liverpool,13.0,Premier League,1.0,LB,26.0,,2017-07-21,2026.0,42,Scotland,1359.0,LWB,3.0,Left,2,3,3,High/High,Unique,Yes,133200000.0,"#Engine, #Crosser","Early Crosser, Speed Dribbler (AI)",80.0,61.0,81.0,81.0,82.0,76.0,88,55,67,82,32,81,82,71,76,83,79,81,75,85,74,76,62,95,65,65,85,84,77,80,55,83.0,83,84,82,11,8,10,7,14,,72+3,72+3,72+3,78,77,77,77,78,78+3,78+3,78+3,81+3,81+3,81+3,81+3,81+3,85+2,82+3,82+3,82+3,85+2,84+3,79+3,79+3,79+3,84+3,18+3
76,A. Robertson,58,78,68.0,England,Manchester City,Right,3,2,180,Medium,Medium,€575K,€8K,259677,44,36,55,67,44,61,49,42,66,62,69,66,58,60,76,64,59,53,42,47,63,43,63,49,55,51,50,49,57,12,8,14,5,5,259677,/player/259677/alex-robertson/230002,23.0,2.0,2022-09-26,A. Robertson,Alexander Robertson,CM,58,78,575000.0,8000.0,19,2003-04-17,180,66,10.0,Manchester City,13.0,Premier League,1.0,RES,93.0,,2020-07-01,2023.0,14,England,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,1600000.0,,,67.0,47.0,57.0,61.0,50.0,50.0,44,36,55,67,44,61,49,42,66,62,69,66,58,60,76,64,59,53,42,47,63,43,63,49,55,51.0,50,49,57,12,8,14,5,5,,56+2,56+2,56+2,57,58,58,58,57,59+2,59+2,59+2,59+2,58+2,58+2,58+2,59+2,55+2,56+2,56+2,56+2,55+2,55+2,53+2,53+2,53+2,55+2,14+2
77,M. Verratti,87,87,87.0,Italy,Paris Saint-Germain,Right,4,4,165,Medium,High,€77.5M,€155K,199556,82,60,57,90,64,91,85,64,89,92,65,55,90,87,93,60,66,75,53,58,89,85,78,89,64,94,78,82,84,12,12,15,15,10,199556,/player/199556/marco-verratti/230002,23.0,2.0,2022-09-26,M. Verratti,Marco Verratti,"CM, CAM",87,87,77500000.0,155000.0,29,1992-11-05,165,60,73.0,Paris Saint Germain,16.0,Ligue 1,1.0,RCM,6.0,,2012-07-18,2024.0,27,Italy,1343.0,LCM,6.0,Right,4,4,3,Medium/High,Unique,Yes,143400000.0,"#Dribbler, #Playmaker, #Acrobat, #Complete Midfielder","Injury Prone, Dives Into Tackles (AI), Flair, Playmaker (AI), Outside Foot Shot",60.0,61.0,87.0,91.0,79.0,66.0,82,60,57,90,64,91,85,64,89,92,65,55,90,87,93,60,66,75,53,58,89,85,78,89,64,94.0,78,82,84,12,12,15,15,10,,71+3,71+3,71+3,80,79,79,79,80,83+3,83+3,83+3,82+3,86+1,86+1,86+1,82+3,82+3,84+3,84+3,84+3,82+3,80+3,77+3,77+3,77+3,80+3,21+3
78,De Gea,87,87,87.0,Spain,Manchester United,Right,3,1,192,Medium,Medium,€42M,€150K,193080,17,13,21,48,13,18,21,19,50,34,52,50,63,89,43,57,67,43,55,12,30,30,12,53,29,58,25,21,13,88,80,76,84,89,193080,/player/193080/david-de-gea-quintana/230002,23.0,2.0,2022-09-26,De Gea,David De Gea Quintana,GK,87,87,42000000.0,150000.0,31,1990-11-07,192,76,11.0,Manchester United,13.0,Premier League,1.0,GK,1.0,,2011-07-01,2023.0,45,Spain,1362.0,SUB,1.0,Right,3,1,4,Medium/Medium,Unique,Yes,79800000.0,,"Solid Player, Cautious With Crosses, Saves with Feet",,,,,,,17,13,21,48,13,18,21,19,50,34,52,50,63,89,43,57,67,43,55,12,30,30,12,53,29,58.0,25,21,13,88,80,76,84,89,51.0,34+3,34+3,34+3,34,36,36,36,34,39+3,39+3,39+3,37+3,41+3,41+3,41+3,37+3,35+3,39+3,39+3,39+3,35+3,35+3,33+3,33+3,33+3,35+3,85+2
79,T. Müller,87,87,87.0,Germany,FC Bayern München,Right,4,3,185,High,High,€63M,€115K,189596,85,88,81,85,84,77,81,59,79,84,66,71,72,94,71,78,77,86,66,82,62,58,96,86,70,84,47,57,46,6,7,11,14,14,189596,/player/189596/thomas-muller/230002,23.0,2.0,2022-09-26,T. Müller,Thomas Müller,"CAM, CF",87,87,63000000.0,115000.0,32,1989-09-13,185,76,21.0,FC Bayern München,19.0,Bundesliga,1.0,CAM,25.0,,2008-08-10,2024.0,21,Germany,1337.0,CAM,13.0,Right,4,3,4,High/High,Lean (185+),Yes,104000000.0,"#Engine, #Clinical Finisher","Solid Player, Leadership, Outside Foot Shot",69.0,84.0,83.0,80.0,56.0,71.0,85,88,81,85,84,77,81,59,79,84,66,71,72,94,71,78,77,86,66,82,62,58,96,86,70,84.0,47,57,46,6,7,11,14,14,,83+3,83+3,83+3,83,84,84,84,83,84+3,84+3,84+3,83+3,82+3,82+3,82+3,83+3,71+3,71+3,71+3,71+3,71+3,69+3,63+3,63+3,63+3,69+3,20+3
80,T. Müller,67,69,68.0,Germany,SC Paderborn 07,Right,3,2,188,Low,Medium,€1.1M,€7K,239928,42,28,64,60,22,52,30,24,60,57,64,68,61,64,58,44,78,64,76,30,67,66,26,40,30,64,66,69,66,10,5,13,9,8,189596,/player/189596/thomas-muller/230002,23.0,2.0,2022-09-26,T. Müller,Thomas Müller,"CAM, CF",87,87,63000000.0,115000.0,32,1989-09-13,185,76,21.0,FC Bayern München,19.0,Bundesliga,1.0,CAM,25.0,,2008-08-10,2024.0,21,Germany,1337.0,CAM,13.0,Right,4,3,4,High/High,Lean (185+),Yes,104000000.0,"#Engine, #Clinical Finisher","Solid Player, Leadership, Outside Foot Shot",69.0,84.0,83.0,80.0,56.0,71.0,85,88,81,85,84,77,81,59,79,84,66,71,72,94,71,78,77,86,66,82,62,58,96,86,70,84.0,47,57,46,6,7,11,14,14,,83+3,83+3,83+3,83,84,84,84,83,84+3,84+3,84+3,83+3,82+3,82+3,82+3,83+3,71+3,71+3,71+3,71+3,71+3,69+3,63+3,63+3,63+3,69+3,20+3
81,H. Lloris,87,87,87.0,France,Tottenham Hotspur,Left,1,1,188,Medium,Medium,€9M,€80K,167948,13,10,9,54,15,12,12,10,55,29,61,62,54,84,56,56,74,41,43,14,31,25,9,59,40,59,24,12,18,88,83,74,84,88,167948,/player/167948/hugo-lloris/230002,23.0,2.0,2022-09-26,H. Lloris,Hugo Lloris,GK,87,87,9000000.0,80000.0,35,1986-12-26,188,82,18.0,Tottenham Hotspur,13.0,Premier League,1.0,GK,1.0,,2012-08-31,2024.0,18,France,1335.0,GK,1.0,Left,1,1,4,Medium/Medium,Unique,Yes,17100000.0,,"Leadership, Cautious With Crosses",,,,,,,13,10,9,54,15,12,12,10,55,29,61,62,54,84,56,56,74,41,43,14,31,25,9,59,40,59.0,24,12,18,88,83,74,84,88,61.0,31+3,31+3,31+3,33,35,35,35,33,39+3,39+3,39+3,37+3,41+3,41+3,41+3,37+3,34+3,38+3,38+3,38+3,34+3,33+3,29+3,29+3,29+3,33+3,85+2
82,F. Tomori,84,90,87.0,England,AC Milan,Right,4,2,185,Medium,High,€60.5M,€75K,232756,56,33,83,73,32,61,38,40,65,66,80,90,74,84,71,56,83,73,84,45,83,85,37,48,27,81,86,89,82,10,13,10,11,7,232756,/player/232756/fikayo-tomori/230002,23.0,2.0,2022-09-26,F. Tomori,Fikayo Tomori,CB,84,90,60500000.0,75000.0,24,1997-12-19,185,79,47.0,Milan,31.0,Serie A,1.0,LCB,23.0,,2021-07-01,2027.0,14,England,,,,Right,4,2,2,Medium/High,Normal (185+),Yes,115000000.0,,,86.0,40.0,60.0,66.0,86.0,81.0,56,33,83,73,32,61,38,40,65,66,80,90,74,84,71,56,83,73,84,45,83,85,37,48,27,81.0,86,89,82,10,13,10,11,7,,60+2,60+2,60+2,61,60,60,60,61,61+2,61+2,61+2,63+2,65+2,65+2,65+2,63+2,77+2,77+2,77+2,77+2,77+2,79+2,84+2,84+2,84+2,79+2,18+2
83,A. Davies,84,89,86.5,Canada,FC Bayern München,Left,4,4,185,High,Low,€60.5M,€59K,234396,85,64,72,82,59,87,72,44,67,84,96,93,86,84,84,74,78,81,75,63,77,78,77,77,60,78,76,77,71,11,11,6,5,14,234396,/player/234396/alphonso-davies/230002,23.0,2.0,2022-09-26,A. Davies,Alphonso Boyle Davies,"LB, LM",84,89,60500000.0,59000.0,21,2000-11-02,185,77,21.0,FC Bayern München,19.0,Bundesliga,1.0,LB,19.0,,2019-01-01,2025.0,70,Canada,111455.0,LW,19.0,Left,4,4,3,High/Low,Unique,Yes,104400000.0,"#Speedster, #Dribbler, #Acrobat","Flair, Speed Dribbler (AI)",94.0,66.0,77.0,85.0,76.0,77.0,85,64,72,82,59,87,72,44,67,84,96,93,86,84,84,74,78,81,75,63,77,78,77,77,60,78.0,76,77,71,11,11,6,5,14,,77+3,77+3,77+3,82,80,80,80,82,80+3,80+3,80+3,82+3,78+3,78+3,78+3,82+3,81+3,78+3,78+3,78+3,81+3,81+3,77+3,77+3,77+3,81+3,18+3
84,A. Davies,70,70,70.0,Wales,Wales,Right,3,1,185,Medium,Medium,€1.1M,€13K,200715,12,11,16,25,13,12,16,18,13,16,40,40,39,68,40,50,46,29,47,15,31,15,8,40,23,47,18,16,13,71,67,66,70,71,234396,/player/234396/alphonso-davies/230002,23.0,2.0,2022-09-26,A. Davies,Alphonso Boyle Davies,"LB, LM",84,89,60500000.0,59000.0,21,2000-11-02,185,77,21.0,FC Bayern München,19.0,Bundesliga,1.0,LB,19.0,,2019-01-01,2025.0,70,Canada,111455.0,LW,19.0,Left,4,4,3,High/Low,Unique,Yes,104400000.0,"#Speedster, #Dribbler, #Acrobat","Flair, Speed Dribbler (AI)",94.0,66.0,77.0,85.0,76.0,77.0,85,64,72,82,59,87,72,44,67,84,96,93,86,84,84,74,78,81,75,63,77,78,77,77,60,78.0,76,77,71,11,11,6,5,14,,77+3,77+3,77+3,82,80,80,80,82,80+3,80+3,80+3,82+3,78+3,78+3,78+3,82+3,81+3,78+3,78+3,78+3,81+3,81+3,77+3,77+3,77+3,81+3,18+3
85,M. Ødegaard,84,89,86.5,Norway,Arsenal,Left,2,5,178,High,Medium,€63.5M,€105K,222665,84,75,52,88,76,85,83,85,84,85,78,75,85,74,83,76,46,79,56,77,63,65,79,86,63,78,65,49,51,14,15,15,8,10,222665,/player/222665/martin-odegaard/230002,23.0,2.0,2022-09-26,M. Ødegaard,Martin Ødegaard,"CAM, CM",84,89,63500000.0,105000.0,23,1998-12-17,178,68,1.0,Arsenal,13.0,Premier League,1.0,CAM,8.0,,2021-08-20,2026.0,36,Norway,1352.0,RCM,10.0,Left,2,5,3,High/Medium,Lean (170-185),Yes,125400000.0,#Playmaker ,"Solid Player, Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",76.0,75.0,86.0,84.0,58.0,63.0,84,75,52,88,76,85,83,85,84,85,78,75,85,74,83,76,46,79,56,77,63,65,79,86,63,78.0,65,49,51,14,15,15,8,10,,75+3,75+3,75+3,82,80,80,80,82,83+3,83+3,83+3,82+3,81+3,81+3,81+3,82+3,72+3,71+3,71+3,71+3,72+3,69+3,61+3,61+3,61+3,69+3,19+3
86,M. Ødegaard,65,65,65.0,Norway,Sarpsborg 08 FF,Right,3,2,186,Medium,Medium,€600K,€1K,202259,54,21,61,56,28,49,38,24,53,51,55,51,61,62,59,53,80,63,80,25,58,65,41,43,19,59,66,66,63,10,8,11,9,9,222665,/player/222665/martin-odegaard/230002,23.0,2.0,2022-09-26,M. Ødegaard,Martin Ødegaard,"CAM, CM",84,89,63500000.0,105000.0,23,1998-12-17,178,68,1.0,Arsenal,13.0,Premier League,1.0,CAM,8.0,,2021-08-20,2026.0,36,Norway,1352.0,RCM,10.0,Left,2,5,3,High/Medium,Lean (170-185),Yes,125400000.0,#Playmaker ,"Solid Player, Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",76.0,75.0,86.0,84.0,58.0,63.0,84,75,52,88,76,85,83,85,84,85,78,75,85,74,83,76,46,79,56,77,63,65,79,86,63,78.0,65,49,51,14,15,15,8,10,,75+3,75+3,75+3,82,80,80,80,82,83+3,83+3,83+3,82+3,81+3,81+3,81+3,82+3,72+3,71+3,71+3,71+3,72+3,69+3,61+3,61+3,61+3,69+3,19+3
87,F. Wirtz,82,91,86.5,Germany,Bayer 04 Leverkusen,Right,4,4,176,High,Medium,€66M,€38K,256630,77,78,39,82,68,86,76,54,82,88,76,79,85,80,82,67,52,79,50,70,63,45,78,85,60,80,55,57,44,14,14,13,6,10,256630,/player/256630/florian-wirtz/230002,23.0,2.0,2022-09-26,F. Wirtz,Florian Richard Wirtz,"CAM, CM",82,91,66000000.0,38000.0,19,2003-05-03,176,72,32.0,Bayer 04 Leverkusen,19.0,Bundesliga,1.0,RES,27.0,,2020-01-31,2027.0,21,Germany,,,,Right,4,4,2,High/Medium,Normal (170-185),Yes,125400000.0,#Dribbler,"Flair, Playmaker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",78.0,73.0,80.0,86.0,51.0,60.0,77,78,39,82,68,86,76,54,82,88,76,79,85,80,82,67,52,79,50,70,63,45,78,85,60,80.0,55,57,44,14,14,13,6,10,,73+2,73+2,73+2,81,80,80,80,81,82+2,82+2,82+2,82+2,79+2,79+2,79+2,82+2,69+2,68+2,68+2,68+2,69+2,65+2,56+2,56+2,56+2,65+2,19+2
88,É. Mendy,86,87,86.5,Senegal,Chelsea,Right,2,1,197,Medium,Medium,€51M,€130K,234642,10,5,10,47,9,18,13,14,54,31,33,36,50,84,33,61,39,37,72,9,22,13,6,52,13,58,10,11,13,84,82,81,85,88,234642,/player/234642/edouard-mendy/230002,23.0,2.0,2022-09-26,É. Mendy,Édouard Mendy,GK,86,87,51000000.0,130000.0,30,1992-03-01,197,86,5.0,Chelsea,13.0,Premier League,1.0,GK,16.0,,2020-09-24,2025.0,136,Senegal,,,,Right,2,1,2,Medium/Medium,Lean (185+),Yes,98200000.0,,"Leadership, Comes For Crosses",,,,,,,10,5,10,47,9,18,13,14,54,31,33,36,50,84,33,61,39,37,72,9,22,13,6,52,13,58.0,10,11,13,84,82,81,85,88,34.0,29+2,29+2,29+2,29,32,32,32,29,35+2,35+2,35+2,32+2,38+2,38+2,38+2,32+2,28+2,34+2,34+2,34+2,28+2,26+2,26+2,26+2,26+2,26+2,84+2
89,M. Škriniar,86,87,86.5,Slovakia,Inter,Right,3,2,188,Low,High,€68.5M,€105K,232363,40,42,81,72,40,67,34,30,73,72,75,81,54,86,56,50,85,81,89,30,87,86,30,46,56,87,91,90,82,10,13,12,8,12,232363,/player/232363/milan-skriniar/230002,23.0,2.0,2022-09-26,M. Škriniar,Milan Škriniar,CB,86,87,68500000.0,105000.0,27,1995-02-11,188,80,44.0,Inter,31.0,Serie A,1.0,RCB,37.0,,2017-07-07,2023.0,43,Slovakia,,,,Right,3,2,3,Low/High,Unique,Yes,118200000.0,#Tactician ,"Solid Player, Team Player",78.0,41.0,57.0,69.0,88.0,86.0,40,42,81,72,40,67,34,30,73,72,75,81,54,86,56,50,85,81,89,30,87,86,30,46,56,87.0,91,90,82,10,13,12,8,12,,60+3,60+3,60+3,59,60,60,60,59,61+3,61+3,61+3,63+3,67+3,67+3,67+3,63+3,76+3,80+3,80+3,80+3,76+3,79+3,85+2,85+2,85+2,79+3,19+3
90,S. Milinković-Savić,86,87,86.5,Serbia,Lazio,Right,5,4,191,High,Medium,€77.5M,€90K,223848,71,82,86,86,74,85,81,78,86,87,66,70,62,84,63,83,87,91,87,81,79,79,82,83,59,84,78,79,74,7,10,7,16,7,223848,/player/223848/sergej-milinkovic-savic/230002,23.0,2.0,2022-09-26,S. Milinković-Savić,Sergej Milinković-Savić,CM,86,87,77500000.0,90000.0,27,1995-02-27,191,76,46.0,Lazio,31.0,Serie A,1.0,RCM,21.0,,2015-08-06,2024.0,51,Serbia,,,,Right,5,4,3,High/Medium,Normal (185+),Yes,137600000.0,,"Power Header, Outside Foot Shot",68.0,80.0,82.0,82.0,79.0,86.0,71,82,86,86,74,85,81,78,86,87,66,70,62,84,63,83,87,91,87,81,79,79,82,83,59,84.0,78,79,74,7,10,7,16,7,,82+3,82+3,82+3,80,82,82,82,80,83+3,83+3,83+3,81+3,85+2,85+2,85+2,81+3,80+3,83+3,83+3,83+3,80+3,79+3,81+3,81+3,81+3,79+3,18+3
91,J. Koundé,84,89,86.5,France,FC Barcelona,Right,3,2,181,High,High,€57.5M,€150K,241486,45,47,80,81,32,72,42,26,75,74,85,83,71,85,74,48,88,76,80,40,75,86,47,62,43,82,85,85,83,11,10,8,14,13,241486,/player/241486/jules-kounde/230002,23.0,2.0,2022-09-26,J. Koundé,Jules Koundé,"CB, RB",84,89,57500000.0,150000.0,23,1998-11-12,181,75,241.0,FC Barcelona,53.0,La Liga,1.0,RB,23.0,,2022-07-28,2027.0,18,France,1335.0,SUB,5.0,Right,3,2,2,High/High,Normal (170-185),No,122200000.0,#Tactician ,Dives Into Tackles (AI),84.0,45.0,64.0,74.0,85.0,78.0,45,47,80,81,32,72,42,26,75,74,85,83,71,85,74,48,88,76,80,40,75,86,47,62,43,82.0,85,85,83,11,10,8,14,13,,64+2,64+2,64+2,66,66,66,66,66,69+2,69+2,69+2,69+2,72+2,72+2,72+2,69+2,77+2,80+2,80+2,80+2,77+2,79+2,83+2,83+2,83+2,79+2,20+2
92,K. Coman,86,87,86.5,France,FC Bayern München,Right,3,5,179,Medium,Medium,€80M,€105K,213345,81,76,61,80,78,88,83,70,74,87,94,90,92,86,84,83,73,69,66,73,35,23,84,81,70,78,29,27,21,5,3,5,3,5,213345,/player/213345/kingsley-coman/230002,23.0,2.0,2022-09-26,K. Coman,Kingsley Junior Coman,LM,86,87,80000000.0,105000.0,26,1996-06-13,179,75,21.0,FC Bayern München,19.0,Bundesliga,1.0,RM,11.0,,2015-08-30,2027.0,18,France,1335.0,RM,11.0,Right,3,5,4,Medium/Medium,Unique,Yes,138000000.0,"#Speedster, #Dribbler, #Acrobat","Injury Prone, Speed Dribbler (AI)",92.0,77.0,79.0,87.0,30.0,61.0,81,76,61,80,78,88,83,70,74,87,94,90,92,86,84,83,73,69,66,73,35,23,84,81,70,78.0,29,27,21,5,3,5,3,5,,80+3,80+3,80+3,84,84,84,84,84,83+3,83+3,83+3,84+3,75+3,75+3,75+3,84+3,60+3,55+3,55+3,55+3,60+3,56+3,45+3,45+3,45+3,56+3,13+3
