Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Touches,Touches.1,Touches.2,Touches.3,Touches.4,Touches.5,Touches.6,Take-Ons,Take-Ons.1,Take-Ons.2,Take-Ons.3,Take-Ons.4,Carries,Carries.1,Carries.2,Carries.3,Carries.4,Carries.5,Carries.6,Carries.7,Receiving,Receiving.1,Unnamed: 31_level_0,90s,Att,Pos,Squad,Player,Dribble/90,Shot_Accuracy,Dribble_Accuracy
834,Mikael Ellertsson,is ISL,"MF,DF",Spezia,it Serie A,20,2002,1.9,60,3,11,31,19,0,60,3,1,33.3,1,33.3,21,209,80,3,2,0,2,2,25,4,Matches,1.9,3.0,"MF,DF",Spezia,Mikael Ellertsson,1.5789473684210529,,33.3
835,Harvey Elliott,eng ENG,"MF,FW",Liverpool,eng Premier League,19,2003,17.9,1194,14,147,566,491,50,1194,42,19,45.2,15,35.7,759,3981,1943,54,40,10,26,23,867,129,Matches,17.9,42.0,"MF,FW",Liverpool,Harvey Elliott,2.346368715083799,,45.2
836,Elif Elmas,mk MKD,"FW,MF",Napoli,it Serie A,22,1999,18.1,1196,10,130,582,498,47,1195,52,23,44.2,22,42.3,753,3972,1995,42,41,13,33,22,961,103,Matches,18.1,52.0,"FW,MF",Napoli,Elif Elmas,2.87292817679558,,44.2
837,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,30,1992,1.3,63,2,11,42,11,0,63,0,0,,0,,38,134,37,1,0,0,0,0,49,1,Matches,1.3,0.0,MF,Arsenal,Mohamed Elneny,0.0,,
838,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,28,1994,16.1,952,68,360,488,107,14,952,8,5,62.5,3,37.5,470,2264,1160,21,12,1,13,7,547,19,Matches,16.1,8.0,DF,Real Sociedad,Aritz Elustondo,0.4968944099378881,,62.5
839,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,25,1996,31.4,2492,366,1398,1042,61,27,2492,3,1,33.3,2,66.7,1517,7687,4018,20,19,1,8,3,1748,5,Matches,31.4,3.0,DF,Gladbach,Nico Elvedi,0.0955414012738853,,33.3
840,Rodrigo Ely,br BRA,DF,Almería,es La Liga,28,1993,35.1,1857,376,1164,646,54,30,1857,7,5,71.4,1,14.3,964,3809,1958,6,8,1,16,2,1084,4,Matches,35.1,7.0,DF,Almería,Rodrigo Ely,0.1994301994301994,,71.4
841,Mohamed Elyounoussi,no NOR,"MF,FW",Southampton,eng Premier League,27,1994,24.1,952,60,204,399,362,54,952,48,25,52.1,20,41.7,484,3141,1463,56,41,12,38,38,533,98,Matches,24.1,48.0,"MF,FW",Southampton,Mohamed Elyounoussi,1.9917012448132776,40.4,52.1
842,Adri Embarba,es ESP,"FW,MF",Almería,es La Liga,30,1992,16.4,865,14,125,324,435,42,864,116,47,40.5,56,48.3,508,3885,1831,62,47,14,49,31,517,115,Matches,16.4,116.0,"FW,MF",Almería,Adri Embarba,7.073170731707318,,40.5
843,Adri Embarba,es ESP,FW,Espanyol,es La Liga,30,1992,0.4,15,2,2,8,6,1,15,5,3,60.0,1,20.0,7,49,36,1,1,0,2,0,6,2,Matches,0.4,5.0,FW,Espanyol,Adri Embarba,12.5,50.0,60.0
844,Breel Embolo,ch SUI,FW,Monaco,fr Ligue 1,25,1997,20.7,708,20,42,299,378,100,707,73,32,43.8,35,47.9,522,2799,906,24,27,13,66,46,553,159,Matches,20.7,73.0,FW,Monaco,Breel Embolo,3.526570048309179,,43.8
845,Emerson,br BRA,DF,Tottenham,eng Premier League,23,1999,19.3,1323,101,481,505,346,46,1323,31,15,48.4,9,29.0,672,3662,2046,47,32,6,22,19,775,103,Matches,19.3,31.0,DF,Tottenham,Emerson,1.6062176165803108,38.3,48.4
846,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,25,1997,18.5,439,19,44,186,211,103,439,23,4,17.4,16,69.6,190,927,369,16,5,14,46,9,286,71,Matches,18.5,23.0,FW,Sevilla,Youssef En-Nesyri,1.2432432432432432,47.4,17.4
847,Julio Enciso,py PAR,"FW,MF",Brighton,eng Premier League,18,2004,9.0,396,2,22,155,228,49,396,64,32,50.0,25,39.1,241,1768,1013,39,29,17,19,20,292,74,Matches,9.0,64.0,"FW,MF",Brighton,Julio Enciso,7.111111111111111,33.3,50.0
848,Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,29,1993,32.5,1873,108,507,1013,380,55,1873,55,28,50.9,20,36.4,994,4470,2190,32,38,5,55,52,1217,67,Matches,32.5,55.0,MF,Stuttgart,Wataru Endo,1.6923076923076923,,50.9
849,Arne Engels,be BEL,MF,Augsburg,de Bundesliga,18,2003,16.0,739,21,158,380,205,5,739,9,4,44.4,4,44.4,322,1403,762,9,7,0,7,8,399,25,Matches,16.0,9.0,MF,Augsburg,Arne Engels,0.5625,28.2,44.4
850,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,30,1992,22.8,1644,43,269,914,465,35,1644,17,8,47.1,9,52.9,967,3499,1756,23,24,3,24,19,1220,66,Matches,22.8,17.0,MF,Manchester Utd,Christian Eriksen,0.7456140350877193,,47.1
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,Pos,Squad,Player,,,
851,Martin Erlic,hr CRO,DF,Sassuolo,it Serie A,24,1998,25.9,1562,199,855,693,21,10,1562,2,1,50.0,1,50.0,912,4147,2132,7,2,1,13,1,964,1,Matches,25.9,2.0,DF,Sassuolo,Martin Erlic,0.0772200772200772,,50.0
852,Tjark Ernst,de GER,GK,Hertha BSC,de Bundesliga,19,2003,1.0,42,38,42,0,0,0,42,0,0,,0,,16,66,54,0,0,0,1,0,11,0,Matches,1.0,0.0,GK,Hertha BSC,Tjark Ernst,0.0,,
853,Gonzalo Escalante,ar ARG,MF,Cremonese,it Serie A,29,1993,6.2,352,16,103,199,56,7,352,5,1,20.0,3,60.0,174,660,341,3,4,0,7,7,226,8,Matches,6.2,5.0,MF,Cremonese,Gonzalo Escalante,0.8064516129032258,,20.0
854,Gonzalo Escalante,ar ARG,MF,Cádiz,es La Liga,29,1993,12.5,585,45,161,316,115,24,585,10,7,70.0,2,20.0,251,1085,523,3,7,0,14,8,289,12,Matches,12.5,10.0,MF,Cádiz,Gonzalo Escalante,0.8,,70.0
855,Sergio Escudero,es ESP,DF,Valladolid,es La Liga,32,1989,16.0,937,61,320,371,255,16,937,17,7,41.2,9,52.9,363,1672,814,17,16,3,13,8,435,37,Matches,16.0,17.0,DF,Valladolid,Sergio Escudero,1.0625,,41.2
856,Alfonso Espino,uy URU,DF,Cádiz,es La Liga,30,1992,34.7,1994,126,672,871,480,33,1994,52,25,48.1,23,44.2,820,3796,2147,53,34,7,52,23,860,129,Matches,34.7,52.0,DF,Cádiz,Alfonso Espino,1.498559077809798,,48.1
857,Bernardo Espinosa,co COL,DF,Girona,es La Liga,33,1989,13.6,1047,164,530,496,29,17,1047,4,3,75.0,1,25.0,636,3354,1885,8,3,1,4,4,720,3,Matches,13.6,4.0,DF,Girona,Bernardo Espinosa,0.2941176470588235,,75.0
858,Salvatore Esposito,it ITA,MF,Spezia,it Serie A,21,2000,10.8,737,21,175,409,156,7,737,14,6,42.9,4,28.6,354,1296,584,4,3,1,10,4,466,11,Matches,10.8,14.0,MF,Spezia,Salvatore Esposito,1.2962962962962965,,42.9
859,Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,20,2002,18.3,944,146,515,408,27,12,944,6,4,66.7,2,33.3,607,3154,1667,9,4,0,4,4,522,1,Matches,18.3,6.0,DF,Montpellier,Maxime Estève,0.3278688524590163,,66.7
860,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,24,1998,29.7,2211,82,506,1076,649,71,2211,42,19,45.2,18,42.9,1292,6134,3440,91,55,15,38,29,1434,183,Matches,29.7,42.0,DF,Brighton,Pervis Estupiñán,1.414141414141414,,45.2
861,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,34,1988,11.7,906,137,474,424,9,2,906,0,0,,0,,529,2218,1206,6,4,0,5,0,629,0,Matches,11.7,0.0,DF,Leicester City,Jonny Evans,0.0,,
862,Edu Expósito,es ESP,MF,Espanyol,es La Liga,25,1996,12.9,689,28,124,329,242,20,689,23,11,47.8,7,30.4,358,1755,901,19,15,2,25,13,428,59,Matches,12.9,23.0,MF,Espanyol,Edu Expósito,1.7829457364341086,35.7,47.8
863,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,24,1998,29.3,1515,20,212,735,602,84,1514,122,71,58.2,41,33.6,889,5017,2398,69,57,28,71,54,999,129,Matches,29.3,122.0,"MF,FW",Crystal Palace,Eberechi Eze,4.163822525597269,,58.2
864,Kimberly Ezekwem,de GER,DF,Freiburg,de Bundesliga,21,2001,0.1,9,1,3,6,0,0,9,0,0,,0,,5,51,17,0,0,0,0,0,4,2,Matches,0.1,0.0,DF,Freiburg,Kimberly Ezekwem,0.0,,
865,Nicolás Ezequiel Fernández,ar ARG,"MF,DF",Elche,es La Liga,22,2000,5.7,314,7,61,123,134,13,314,12,3,25.0,7,58.3,195,1221,690,21,10,4,10,11,195,53,Matches,5.7,12.0,"MF,DF",Elche,Nicolás Ezequiel Fernández,2.1052631578947367,40.0,25.0
866,Abde Ezzalzouli,ma MAR,"FW,MF",Osasuna,es La Liga,20,2001,16.7,813,4,73,287,473,66,813,117,59,50.4,42,35.9,555,4651,2531,93,60,45,64,38,606,136,Matches,16.7,117.0,"FW,MF",Osasuna,Abde Ezzalzouli,7.005988023952096,,50.4
867,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,37,1985,34.6,1005,871,1000,5,0,0,1005,0,0,,0,,506,3330,2146,0,0,0,3,0,350,0,Matches,34.6,0.0,GK,West Ham,Łukasz Fabiański,0.0,,
868,Fabinho,br BRA,MF,Liverpool,eng Premier League,28,1993,29.7,2092,83,456,1314,325,21,2092,15,7,46.7,4,26.7,1184,4669,1913,15,28,1,17,12,1493,39,Matches,29.7,15.0,MF,Liverpool,Fabinho,0.5050505050505051,,46.7
869,Fábio,br BRA,"DF,MF",Nantes,fr Ligue 1,32,1990,2.5,149,10,32,64,53,4,149,4,1,25.0,3,75.0,87,409,191,4,6,0,4,1,80,18,Matches,2.5,4.0,"DF,MF",Nantes,Fábio,1.6,,25.0
870,Noah Fadiga,sn SEN,DF,Brest,fr Ligue 1,22,1999,14.5,790,39,218,403,175,19,790,40,18,45.0,21,52.5,488,3212,1755,43,30,8,23,6,423,36,Matches,14.5,40.0,DF,Brest,Noah Fadiga,2.7586206896551726,,45.0
871,Wout Faes,be BEL,DF,Leicester City,eng Premier League,24,1998,31.0,2177,357,1230,916,44,19,2177,12,9,75.0,3,25.0,1262,6476,3606,11,7,0,15,5,1436,2,Matches,31.0,12.0,DF,Leicester City,Wout Faes,0.3870967741935484,,75.0
872,Wout Faes,be BEL,DF,Reims,fr Ligue 1,24,1998,3.0,150,38,85,64,2,1,150,2,1,50.0,1,50.0,91,402,210,1,0,0,1,1,76,1,Matches,3.0,2.0,DF,Reims,Wout Faes,0.6666666666666666,,50.0
873,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,21,2001,16.9,749,17,124,411,221,15,749,19,8,42.1,8,42.1,471,2225,921,27,19,5,33,28,536,56,Matches,16.9,19.0,MF,Juventus,Nicolò Fagioli,1.124260355029586,,42.1
874,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,33,1988,11.4,485,397,476,10,0,0,485,0,0,,0,,270,1391,899,0,0,0,0,0,221,0,Matches,11.4,0.0,GK,Schalke 04,Ralf Fährmann,0.0,,
875,Romain Faivre,fr FRA,"MF,FW",Lorient,fr Ligue 1,24,1998,13.8,688,5,71,342,289,43,688,88,48,54.5,27,30.7,557,4523,2310,77,56,17,30,9,520,66,Matches,13.8,88.0,"MF,FW",Lorient,Romain Faivre,6.376811594202898,,54.5
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,Pos,Squad,Player,,,
876,Romain Faivre,fr FRA,MF,Lyon,fr Ligue 1,24,1998,3.3,216,1,15,112,95,6,216,20,3,15.0,16,80.0,160,1198,543,14,12,1,4,3,153,16,Matches,3.3,20.0,MF,Lyon,Romain Faivre,6.0606060606060606,,15.0
877,Radamel Falcao,co COL,"FW,MF",Rayo Vallecano,es La Liga,36,1986,6.8,271,12,21,106,146,38,270,16,2,12.5,13,81.3,150,549,122,2,5,2,29,9,204,53,Matches,6.8,16.0,"FW,MF",Rayo Vallecano,Radamel Falcao,2.3529411764705883,,12.5
878,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,27,1995,38.0,1272,1056,1267,5,0,0,1272,0,0,,0,,660,4252,2301,0,0,0,1,0,432,0,Matches,38.0,0.0,GK,Lecce,Wladimiro Falcone,0.0,,
879,Fali,es ESP,"DF,MF",Cádiz,es La Liga,28,1993,19.0,766,109,380,351,39,15,766,5,2,40.0,2,40.0,392,2170,1337,9,3,0,8,1,408,10,Matches,19.0,5.0,"DF,MF",Cádiz,Fali,0.2631578947368421,,40.0
880,Fallou Fall,sn SEN,DF,Reims,fr Ligue 1,18,2004,0.4,20,6,18,2,0,0,20,0,0,,0,,12,126,19,0,1,0,0,0,11,0,Matches,0.4,0.0,DF,Reims,Fallou Fall,0.0,,
881,Mamadou Fall,sn SEN,DF,Villarreal,es La Liga,19,2002,0.3,22,2,8,10,4,0,22,1,0,0.0,1,100.0,10,39,16,0,0,0,1,0,8,0,Matches,0.3,1.0,DF,Villarreal,Mamadou Fall,3.333333333333333,,0.0
882,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,30,1991,16.5,770,55,226,335,213,27,770,16,7,43.8,9,56.3,322,1217,549,11,9,2,12,4,341,33,Matches,16.5,16.0,DF,Hellas Verona,Davide Faraoni,0.9696969696969696,29.5,43.8
883,Ansu Fati,es ESP,FW,Barcelona,es La Liga,19,2002,15.5,805,10,64,278,469,128,805,47,23,48.9,21,44.7,556,2983,1399,47,28,31,35,30,639,178,Matches,15.5,47.0,FW,Barcelona,Ansu Fati,3.032258064516129,,48.9
884,Khalil Fayad,fr FRA,MF,Montpellier,fr Ligue 1,18,2004,8.0,438,11,99,274,73,5,438,16,8,50.0,4,25.0,318,1724,659,9,12,1,15,7,278,11,Matches,8.0,16.0,MF,Montpellier,Khalil Fayad,2.0,,50.0
885,Cheikh Faye,sn SEN,FW,Montpellier,fr Ligue 1,23,1999,0.4,15,0,1,9,5,1,15,1,0,0.0,1,100.0,10,55,5,0,0,0,2,3,12,3,Matches,0.4,1.0,FW,Montpellier,Cheikh Faye,2.5,,0.0
886,Federico Fazio,ar ARG,DF,Salernitana,it Serie A,35,1987,11.9,679,84,318,309,58,17,679,8,4,50.0,4,50.0,347,1507,877,13,11,1,11,5,358,4,Matches,11.9,8.0,DF,Salernitana,Federico Fazio,0.6722689075630252,,50.0
887,Jacopo Fazzini,it ITA,MF,Empoli,it Serie A,19,2003,9.2,476,20,135,216,132,15,476,31,13,41.9,15,48.4,255,1355,552,11,14,0,23,24,292,40,Matches,9.2,31.0,MF,Empoli,Jacopo Fazzini,3.3695652173913047,,41.9
888,Zouhair Feddal,ma MAR,DF,Valladolid,es La Liga,33,1989,4.2,249,48,162,85,3,2,249,0,0,,0,,124,595,278,0,0,0,0,1,147,0,Matches,4.2,0.0,DF,Valladolid,Zouhair Feddal,0.0,,
889,Nabil Fekir,fr FRA,MF,Betis,es La Liga,29,1993,10.7,607,2,37,254,321,43,606,44,17,38.6,19,43.2,406,2332,1072,42,27,13,34,22,489,76,Matches,10.7,44.0,MF,Betis,Nabil Fekir,4.112149532710281,,38.6
890,Felipe,br BRA,DF,Nott'ham Forest,eng Premier League,33,1989,15.8,798,163,477,275,59,36,798,18,14,77.8,3,16.7,391,2137,1182,3,3,0,12,4,386,4,Matches,15.8,18.0,DF,Nott'ham Forest,Felipe,1.1392405063291138,,77.8
891,Felipe,br BRA,DF,Atlético Madrid,es La Liga,33,1989,2.2,149,9,56,90,5,2,149,2,1,50.0,1,50.0,102,581,332,2,0,0,0,0,98,1,Matches,2.2,2.0,DF,Atlético Madrid,Felipe,0.9090909090909092,,50.0
892,Luiz Felipe,it ITA,DF,Betis,es La Liga,25,1997,19.6,1130,182,601,507,23,7,1130,9,5,55.6,4,44.4,586,2625,1212,1,1,0,9,0,664,0,Matches,19.6,9.0,DF,Betis,Luiz Felipe,0.4591836734693877,34.8,55.6
893,João Félix,pt POR,"FW,MF",Chelsea,eng Premier League,22,1999,10.5,497,0,30,223,249,46,497,60,22,36.7,28,46.7,326,2092,1099,34,40,9,22,8,399,79,Matches,10.5,60.0,"FW,MF",Chelsea,João Félix,5.714285714285714,,36.7
894,João Félix,pt POR,"FW,MF",Atlético Madrid,es La Liga,22,1999,7.2,322,3,23,158,142,21,322,24,6,25.0,14,58.3,211,1078,554,17,16,2,20,12,260,42,Matches,7.2,24.0,"FW,MF",Atlético Madrid,João Félix,3.333333333333333,,25.0
895,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,24,1997,16.1,928,100,493,414,27,12,928,13,6,46.2,5,38.5,470,2443,1165,12,1,0,10,5,486,5,Matches,16.1,13.0,DF,Augsburg,Ohis Felix Uduokhai,0.8074534161490683,,46.2
896,Kiko Femenía,es ESP,DF,Villarreal,es La Liga,31,1991,12.6,877,41,299,377,211,8,877,13,6,46.2,4,30.8,508,2763,1461,36,27,1,8,9,570,47,Matches,12.6,13.0,DF,Villarreal,Kiko Femenía,1.031746031746032,,46.2
897,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,17,2004,10.6,344,10,27,165,155,39,344,14,8,57.1,5,35.7,203,884,309,11,4,8,29,20,256,58,Matches,10.6,14.0,FW,Brighton,Evan Ferguson,1.3207547169811322,41.9,57.1
898,Lewis Ferguson,sct SCO,"MF,FW",Bologna,it Serie A,22,1999,25.7,1472,44,272,794,415,69,1472,25,9,36.0,12,48.0,830,3488,1460,31,37,7,33,16,1129,114,Matches,25.7,25.0,"MF,FW",Bologna,Lewis Ferguson,0.9727626459143968,35.6,36.0
899,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,eng Premier League,27,1994,36.8,2408,68,386,966,1078,149,2406,66,32,48.5,28,42.4,1385,6213,3272,89,68,28,42,42,1689,231,Matches,36.8,66.0,"MF,FW",Manchester Utd,Bruno Fernandes,1.7934782608695654,,48.5
900,Edimilson Fernandes,ch SUI,DF,Mainz 05,de Bundesliga,26,1996,27.1,1485,158,671,666,166,6,1485,25,17,68.0,4,16.0,768,3634,1792,15,12,3,15,14,739,23,Matches,27.1,25.0,DF,Mainz 05,Edimilson Fernandes,0.9225092250922508,,68.0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,Pos,Squad,Player,,,
901,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,31,1991,21.0,846,701,835,11,0,0,846,0,0,,0,,443,2217,1515,0,0,0,1,0,335,0,Matches,21.0,0.0,GK,Osasuna,Aitor Fernández,0.0,,
902,Álex Fernández,es ESP,"MF,FW",Cádiz,es La Liga,29,1992,17.5,850,38,174,482,198,25,849,11,5,45.5,4,36.4,482,2226,983,19,21,3,18,24,583,26,Matches,17.5,11.0,"MF,FW",Cádiz,Álex Fernández,0.6285714285714286,,45.5
903,Álvaro Fernández,es ESP,GK,Espanyol,es La Liga,24,1998,11.0,382,296,375,7,0,0,382,0,0,,0,,174,1053,714,0,0,0,0,1,124,0,Matches,11.0,0.0,GK,Espanyol,Álvaro Fernández,0.0,,
904,Carlos Fernández,es ESP,FW,Real Sociedad,es La Liga,26,1996,7.0,231,5,25,92,120,42,231,20,13,65.0,5,25.0,141,798,284,9,8,4,19,12,181,54,Matches,7.0,20.0,FW,Real Sociedad,Carlos Fernández,2.857142857142857,,65.0
905,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,21,2001,17.2,1616,45,351,1000,280,9,1616,32,17,53.1,13,40.6,1097,4757,2023,22,28,1,25,13,1257,18,Matches,17.2,32.0,MF,Chelsea,Enzo Fernández,1.8604651162790693,,53.1
906,Federico Fernández,ar ARG,DF,Elche,es La Liga,33,1989,1.0,30,11,24,5,1,0,30,0,0,,0,,5,11,6,0,0,0,1,0,2,0,Matches,1.0,0.0,DF,Elche,Federico Fernández,0.0,,
907,Joaquín Fernández,es ESP,DF,Valladolid,es La Liga,26,1996,24.0,1228,167,672,517,41,17,1228,2,1,50.0,1,50.0,672,3137,1642,6,7,1,9,1,759,3,Matches,24.0,2.0,DF,Valladolid,Joaquín Fernández,0.0833333333333333,,50.0
908,Valery Fernández,es ESP,"MF,DF",Girona,es La Liga,22,1999,10.7,461,20,86,179,199,28,461,27,13,48.1,10,37.0,274,1617,637,18,7,9,18,10,305,84,Matches,10.7,27.0,"MF,DF",Girona,Valery Fernández,2.5233644859813085,,48.1
909,Fernando,es ESP,GK,Almería,es La Liga,32,1990,36.5,1409,1270,1403,6,0,0,1409,1,1,100.0,0,0.0,703,3796,2345,0,0,0,0,0,536,0,Matches,36.5,1.0,GK,Almería,Fernando,0.0273972602739726,,100.0
910,Fernando,br BRA,"MF,DF",Sevilla,es La Liga,35,1987,17.5,1025,83,369,532,131,5,1025,5,3,60.0,1,20.0,584,2441,1049,6,17,0,13,12,656,13,Matches,17.5,5.0,"MF,DF",Sevilla,Fernando,0.2857142857142857,,60.0
911,Alex Ferrari,it ITA,DF,Sampdoria,it Serie A,28,1994,9.6,560,51,276,265,25,5,560,6,3,50.0,3,50.0,304,1591,849,7,1,0,10,3,308,3,Matches,9.6,6.0,DF,Sampdoria,Alex Ferrari,0.625,,50.0
912,Alex Ferrari,it ITA,DF,Cremonese,it Serie A,28,1994,11.2,604,54,301,268,41,1,604,8,4,50.0,4,50.0,286,1217,493,2,3,0,8,1,274,5,Matches,11.2,8.0,DF,Cremonese,Alex Ferrari,0.7142857142857143,,50.0
913,Salvador Ferrer,es ESP,DF,Spezia,it Serie A,24,1998,1.5,113,12,50,50,13,0,113,0,0,,0,,55,211,88,0,0,0,2,1,71,2,Matches,1.5,0.0,DF,Spezia,Salvador Ferrer,0.0,,
914,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,30,1992,30.4,2237,59,542,1401,321,10,2237,55,20,36.4,22,40.0,1785,9143,4174,37,47,2,43,44,1610,42,Matches,30.4,55.0,MF,Montpellier,Jordan Ferri,1.8092105263157896,,36.4
915,Fidel,es ESP,"MF,FW",Elche,es La Liga,32,1989,19.0,1078,18,178,556,364,43,1077,76,32,42.1,35,46.1,746,4045,2228,53,37,7,41,24,822,90,Matches,19.0,76.0,"MF,FW",Elche,Fidel,4.0,,42.1
916,Karol Fila,pl POL,DF,Strasbourg,fr Ligue 1,24,1998,0.5,46,1,3,19,25,5,46,0,0,,0,,36,237,191,4,1,2,1,0,32,4,Matches,0.5,0.0,DF,Strasbourg,Karol Fila,0.0,,
917,Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,32,1990,1.0,25,20,25,0,0,0,25,0,0,,0,,16,86,66,0,0,0,0,0,13,0,Matches,1.0,0.0,GK,Salernitana,Vincenzo Fiorillo,0.0,64.1,
918,Roberto Firmino,br BRA,"FW,MF",Liverpool,eng Premier League,30,1991,13.5,735,3,69,375,295,84,735,24,13,54.2,10,41.7,423,1757,742,16,14,7,38,23,565,96,Matches,13.5,24.0,"FW,MF",Liverpool,Roberto Firmino,1.7777777777777777,,54.2
919,Junior Firpo,do DOM,DF,Leeds United,eng Premier League,25,1996,15.2,792,48,286,368,146,13,792,15,6,40.0,9,60.0,352,1465,785,20,16,1,9,9,367,34,Matches,15.2,15.0,DF,Leeds United,Junior Firpo,0.986842105263158,,40.0
920,Kilian Fischer,de GER,"DF,FW",Wolfsburg,de Bundesliga,21,2000,5.6,327,16,113,137,78,7,327,6,3,50.0,3,50.0,160,726,355,6,5,2,4,1,177,21,Matches,5.6,6.0,"DF,FW",Wolfsburg,Kilian Fischer,1.0714285714285714,,50.0
921,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,29,1993,34.0,1550,1234,1536,17,0,0,1550,3,3,100.0,0,0.0,942,5638,3160,0,0,0,0,0,739,0,Matches,34.0,3.0,GK,Freiburg,Mark Flekken,0.088235294117647,,100.0
922,Florian Flick,de GER,MF,Schalke 04,de Bundesliga,22,2000,5.7,244,28,86,135,26,1,244,2,1,50.0,1,50.0,94,445,186,2,4,0,3,2,99,2,Matches,5.7,2.0,MF,Schalke 04,Florian Flick,0.3508771929824561,37.7,50.0
923,Alexis Flips,fr FRA,"FW,MF",Reims,fr Ligue 1,22,2000,22.0,1331,32,233,590,525,54,1331,42,12,28.6,24,57.1,906,4374,1784,23,44,3,58,23,803,162,Matches,22.0,42.0,"FW,MF",Reims,Alexis Flips,1.9090909090909087,,28.6
924,Alessandro Florenzi,it ITA,DF,Milan,it Serie A,31,1991,2.3,195,3,42,82,71,10,195,1,0,0.0,1,100.0,103,340,129,1,1,0,3,0,113,19,Matches,2.3,1.0,DF,Milan,Alessandro Florenzi,0.4347826086956522,47.8,0.0
925,Phil Foden,eng ENG,FW,Manchester City,eng Premier League,22,2000,20.5,1324,20,116,433,790,131,1324,81,40,49.4,31,38.3,891,4578,2141,68,43,25,34,29,1051,275,Matches,20.5,81.0,FW,Manchester City,Phil Foden,3.951219512195122,,49.4
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,,Pos,Squad,Player,,26.8,
926,Seko Fofana,ci CIV,MF,Lens,fr Ligue 1,27,1995,34.1,2163,32,242,1237,709,108,2161,109,59,54.1,40,36.7,1873,11603,4763,117,95,32,61,42,1763,233,Matches,34.1,109.0,MF,Lens,Seko Fofana,3.196480938416422,,54.1
927,Wesley Fofana,fr FRA,DF,Leicester City,eng Premier League,21,2000,2.0,169,11,68,97,7,3,169,3,2,66.7,0,0.0,116,647,365,3,5,2,3,0,115,1,Matches,2.0,3.0,DF,Leicester City,Wesley Fofana,1.5,,66.7
928,Wesley Fofana,fr FRA,DF,Chelsea,eng Premier League,21,2000,13.1,1013,97,424,509,85,10,1013,13,8,61.5,1,7.7,686,4197,2489,29,20,1,9,6,735,12,Matches,13.1,13.0,DF,Chelsea,Wesley Fofana,0.9923664122137404,,61.5
929,Yahia Fofana,ci CIV,GK,Angers,fr Ligue 1,21,2000,11.0,353,309,351,2,0,0,353,1,1,100.0,0,0.0,239,1386,989,0,1,1,0,0,124,0,Matches,11.0,1.0,GK,Angers,Yahia Fofana,0.0909090909090909,23.8,100.0
